Titles,Keywords,Abstract,tipo,tema
Gender differences in general practice consultations: methodological challenges in epidemiological research,Epidemiologic Research Design* Family Practice / statistics & numerical data* Female Health Care Rationing Health Status Humans Male,Background: Women consult their GP more often than men do. The distribution of complaints and diagnoses are different for women and men patients. Although several findings on gender differentials on mortality and health care consumption are rather consistent across studies detailed findings and subsequent conclusions diverge in several important fields. Objectives: Our aim was to explore methodological aspects of research on gender differences in general practice. Methods: We reviewed empirical studies within this field aiming to identify methodological and interpretative intricacies which deserve special attention in epidemiological research on GP consultations. Results and conclusions: We found that descriptive and explanatory levels of research are frequently confused. Simple questions answers and explanations are commonly raised for complex issues within a poorly defined theoretical explanatory framework. There is a need to assess relevant approaches for various purposes and to develop more uniform conceptual terms. Findings from one level are often transferred to another incompatible level. Epidemiological issues must be considered especially matters related to denominator level and standardization/confounders-not in order to decide which level represents 'reality' but to clarify the consequences of different measures for different research questions. The contents of the core variables and the potentials for bias should be discussed in order to provide a sound basis for future explanatory studies.,0,Ciencias Sociales
Psychosocial and mental health aspects of women's health,Employment Female Humans Marriage Mental Disorders / etiology Mental Health* Role Socioeconomic Factors Women's Health*,Both community-based studies and studies of treatment seekers indicate that women are disproportionately affected by mental health problems and that their vulnerability is closely associated with marital status employment and roles in society. Women's mental health cannot be considered in isolation from social political and economic issues. When women's position in society is examined it is clear that there are sufficient causes in current social arrangements to account for the surfeit of depression and anxiety experienced by women.,0,Ciencias Sociales
Gender Differences in Age at Onset of Schizophrenia,studies females males gender differencesschizophrenia,We present the results of a review of the literature concerning gender differences in age at the onset of schizophrenia. In view of the very consistent finding that the first admission to hospital for schizophrenia occurs on average earlier in men than in women we examined the question whether this is due to the fact that the psychosis manifests itself earlier in men or that the period between first manifestation and admission to hospital is shorter than in women. By means of a metaanalytic approach we then looked for evidence for the existence of local or temporal variations in the degree of gender difference. Lastly we dealt with the question whether gender differences in age of onset can be observed in other functional psychoses.,0,Ciencias Sociales
Sex and gender differences in health,biological gender sex healththerapies,Men and women are alike in many ways. However there are important biological and behavioural differences between the two genders. They affect manifestation epidemiology and pathophysiology of many widespread diseases and the approach to health care. Despite our knowledge of these crucial differences there is little gender-specific health care the prevention management and therapeutic treatment of many common diseases does not reflect the most obvious and most important risk factors for the patient: sex and gender. This omission is holding back more efficient health care as gender-based prevention measures or therapies are probably more effective than the usual ‘one-size-fits all' approach and would benefit patients of both genders. Addressing gender in health and health care therefore requires new approaches at many levels from training medical personal to clinical medicine epidemiology and drug development.,0,Ciencias Sociales
Similarities and Differences of Mental Health in Women and Men: A Systematic Review of Findings in Three Large German Cohorts,indentify gender health social factors physical health,In Germany large population-based cohort studies have been implemented in order to identify risk and protective factors for maintaining health across the life span. The purpose of this systematic review is to analyse findings from three large ongoing cohorts and to identify sex-specific prevalence rates risk and protective factors for mental health. Published studies from the Cooperative Health Research in the Region Augsburg (KORA) the Study of Health in Pomerania (SHIP) and the Gutenberg Health Study (GHS)) representing the southern north-eastern and middle parts of Germany were identified through searches of the databases PubMed and Web of Science. A total of 52 articles was identified from the start of each cohort until June 2019. Articles reporting prevalence rates of mental health [N = 22] explanatory factors for mental health [N = 25] or both [N = 5] were identified. Consistent across cohorts higher prevalence rates of internalizing disorders were found for women and more externalizing disorders for men. Risk and protective factors for mental health included social factors lifestyle physical health body mass index (BMI) diabetes genetic and biological factors. In all areas differences and similarities were found between women and men. The most evident were the sex-specific risk profiles for depression with mostly external risk factors for men and internal risk factors for women. Gender was not assessed directly therefore we examined whether socioeconomic and family-related factors reflecting gender roles or institutionalized gender could be used as a proxy for gender. Overall this systematic review shows differences and similarities in prevalence rates and determinants of mental health indicators between women and men. They underline the importance of focussing on sex specific approaches in mental health research and in the development of prevention measures. Current research on mental health still lacks focus on gender aspects. Therefore an increased focus on sex and gender in mental health research is of great importance.,0,Ciencias Sociales
Gender Differences in the Prevalence of Somatic Versus Pure Depression: A Replication,depression study women men dysphoria gender gender diference,OBJECTIVE: Using data from the Epidemiologic Catchment Area (ECA) study the author attempted to replicate the finding of the National Comorbidity Survey that the prevalence of depression associated with somatic symptoms was much higher among women than men. METHOD: The author reanalyzed data from the ECA study. He divided respondents into those who met criteria for major depression and exhibited appetite and sleep disturbances and fatigue (somatic depression) and those who met depression criteria but did not exhibit all of these somatic criteria (pure depression). RESULTS: The reanalysis revealed that the prevalence of somatic depression but not pure depression was much higher among women than men. Somatic depression was associated with high rates of pain among women it was associated with high rates of anxiety disorders and chronic dysphoria. CONCLUSIONS: The gender difference in depression may result from a difference in a specific type of depression—anxious somatic depression.,0,Ciencias Sociales
Stability Radii-Based Interval Observers for Discrete-Time Nonlinear Systems,"Observers Discrete-time systems Asymptotic stability Uncertainty Trajectory
Estimation error Linear matrix inequalities",In this paper we investigate the interval observer problem for a class of discrete-time nonlinear systems in absence or presence of external disturbances and parametric uncertainties. The interval observers depend on the design of two preserving order observers providing lower and upper estimations of the state. The main objective is to apply the stability radii notions and cooperativity property in the estimation error systems in order to guarantee that the lower/upper estimation is always below/above the real state trajectory at each time instant from an appropriate initialization and the estimation errors converge asymptotically towards zero when the disturbances and/or uncertainties are vanishing. For the disturbed case the estimation errors practically converge to a vicinity of zero while the lower/upper estimations preserve the partial ordering with respect to the state trajectory. The design conditions that are valid for Lipschitz nonlinearities can be expressed as Linear Matrix Inequalities (LMIs). A numerical simulation example is provided to verify the effectiveness of the proposed method.,1,Ciencias Sociales
Observers for Lipschitz nonlinear systems,Nonlinear systems Eigenvalues and eigenfunctions Asymptotic stability Sufficient conditions Riccati equations Robots Linearity Estimation error Yield estimation Algorithm design and analysis,This paper presents some fundamental insights into observer design for the class of Lipschitz nonlinear systems. The stability of the nonlinear observer for such systems is not determined purely by the eigenvalues of the linear stability matrix. The correct necessary and sufficient conditions on the stability matrix that ensure asymptotic stability of the observer are presented. These conditions are then reformulated to obtain a sufficient condition for stability in terms of the eigenvalues and the eigenvectors of the linear stability matrix. The eigenvalues have to be located sufficiently far out into the left half-plane and the eigenvectors also have to be sufficiently well-conditioned for ensuring asymptotic stability. Based on these results a systematic computational algorithm is then presented for obtaining the observer gain matrix so as to achieve the objective of asymptotic stability.,0,Ciencias Sociales
Observer design for lipschitz nonlinear systems,Nonlinear systems Observers Sufficient conditions Convergence Asymptotic stability Riccati equations State estimation Optimal control Robot kinematics Councils,The problem of observer design for Lipschitz nonlinear systems is considered. A new dynamic framework which is a generalization of previously used Lipschitz observers is introduced and the generalized sufficient condition that ensures asymptotic convergence of the state estimates is presented. The equivalence between this condition and an H/sub /spl infin// optimal control problem which satisfies the standard regularity assumptions in H/sub /spl infin// optimization theory is shown and a parameterization of all possible observers is also presented. A design procedure which is less restrictive than the existing design approaches is proposed and a simulation example is given to illustrate the observer design.,0,Ciencias Sociales
Nonlinear observers: a circle criterion design and robustness analysis,Nonlinearities observer gain matrices,Globally convergent observers are designed for a class of systems with monotonic nonlinearities. The approach is to represent the observer error system as the feedback interconnection of a linear system and a time-varying multivariable sector nonlinearity. Using LMI software observer gain matrices are computed to satisfy the circle criterion and hence to drive the observer error to zero. In output-feedback design the observer is combined with control laws that ensure input-to-state stability with respect to the observer error. Robustness to unmodeled dynamics is achieved with a small-gain assignment design as illustrated on a jet engine compressor example.,0,Ciencias Sociales
Cooperative observers for nonlinear systems,Nonlinear systems Observers Design methodology Convergence State estimation Temperature Cooperative systems Uncertainty Kinetic theory Nonlinear dynamical systems,A new methodology to design preserving order observers for a class of nonlinear systems in absence and in presence of perturbations is proposed. The preserving order observers are those whose estimates always stay above or below the true trajectory of the state. The design methodology combines two important systemic properties: dissipativity and cooperativity. The first is used to assure the convergence of the estimation error dynamics. Cooperativity is the basic property of the error dynamics in order to assure the order preserving properties of the observer. The design of these observers can be reduced in most cases to linear matrix inequalities (LMI).,0,Ciencias Sociales
Coordination Control for Uncertain Networked Systems Using Interval Observers,Observers Additives Symmetric matrices Time-varying systems Automation Decentralized control Cybernetics,In this article we take the coordination control problem of linear time-invariant networked systems with uncertain additive disturbance and uncertain initial states into consideration. A distributed interval observer is first constructed for uncertain networked systems in which the control algorithm of each agent involves only the upper bound information and the lower bound information of the interval observer associated with itself and its neighbors respectively. With the help of the cooperativity theory it is proved that the interval observer can estimate the piecewise state for each agent and the interval-observer-based control algorithm can drive the uncertain system to achieve coordination behavior. Then time-varying coordinate transformation is introduced to construct a novel interval observer which can eliminate the cooperativity premise on the system matrices and bound the states of all agents in real time. It is shown that the novel interval-observer-based control algorithm can guide the uncertain system to reach coordinated behavior. Finally the numerical simulations are provided to verify the theoretical results.,0,Ciencias Sociales
Further Result on Interval Observer Design for Discrete-Time Switched Systems and Application to Circuit Systems,Observers Switched systems Circuits and systems Switches Lyapunov methods,This brief deals with the interval observer design for a class of discrete-time switched systems. In order to reduce the constraints of design conditions and improve the accuracy of estimation the zonotope method is used to estimate the bounds of the system states. First an H ∞ observer is constructed for discretetime switched systems and sufficient conditions are derived to guarantee the existence of the H ∞ observer. Then zonotope method is employed to estimate the states based on the designed observer. Finally a numerical example in the background of booster converter is simulated to demonstrate the efficiency of the proposed approach.,0,Ciencias Sociales
Interval Observer Design for Nonlinear Systems: Stability Radii Approach,Observers Nonlinear systems Asymptotic stability Stability analysis Perturbation methods Symmetric matrices Linear matrix inequalities,This paper presents a new approach to design preserving order and interval observers for a family of nonlinear systems in absence and in presence of parametric uncertainties and exogenous disturbances. A preserving order observer provides an upper/lower estimation that is always above/below the state trajectory depending on the partial ordering of the initial conditions and asymptotically converges to its true values in the nominal case. An interval observer is then constituted by means of an upper and a lower preserving order observer. In the uncertain/disturbed case the estimations preserve the partial ordering with respect to the state trajectory and practically converge to the true values despite of the uncertainties/perturbations. The design approach relies on the cooperativity property and the stability radii mathematical tools both applied to the estimation error systems. The objective is to exploit the stability radii analysis for the family of linear positive systems under the time-varying nonlinear perturbations in order to guarantee the exponential convergence property of the observers while the cooperativity condition determines the partial ordering between the trajectories of the state and the estimations. The proposed approach defined for Lipschitz nonlinearities depends only on two observer matrix gains. The design is reduced to the solution of linear matrix inequalities which are given by the cooperative condition and convergence constraints. An illustrative example is presented to show the effectiveness of the theoretical results.,0,Ciencias Sociales
Monotone control systems,Control systems Cooperative systems Cells (biology) Systems biology Biological system modeling Feedback loop Computational biology Mathematical model Stability Negative feedback,Monotone systems constitute one of the most important classes of dynamical systems used in mathematical biology modeling. The objective of this paper is to extend the notion of monotonicity to systems with inputs and outputs a necessary first step in trying to understand interconnections especially including feedback loops built up out of monotone components. Basic definitions and theorems are provided as well as an application to the study of a model of one of the cell's most important subsystems.,0,Ciencias Sociales
Interval State Estimation for a Class of Nonlinear Systems,Observers Eigenvalues and eigenfunctions Equations Linear systems Nonlinear systems Mathematical model Observability,The goal of this technical note is to design interval observers for a class of nonlinear continuous-time systems. The first part of this work shows that it is usually possible to design an interval observer for linear systems by means of linear time-invariant changes of coordinates even if the system is not cooperative. This result is extended to a class of nonlinear systems using partial exact linearisations. The proposed observers guarantee to enclose the set of system states that is consistent with the model the disturbances and the measurement noise. Moreover it is only assumed that the measurement noise and the disturbances are bounded without any additional information such as stationarity uncorrelation or type of distribution. The proposed observer is illustrated through numerical simulations.,0,Ciencias Sociales
On interval observer design for time-invariant discrete-time systems,Observers Transmission line matrix methods Equations Mathematical model Vectors Eigenvalues and eigenfunctions,The problem of interval state observer design is addressed for time-invariant discrete-time systems. Two solutions are proposed: the first one is based on a similarity transformation synthesis which connects a constant matrix with its nonnegative representation ensuring the observation error positivity. The second contribution shows that in the discrete-time case the estimation error dynamics always can be represented in a cooperative form without a transformation of coordinates. The corresponding observer gain can be found as a solution of the formulated LMIs. The performances of the proposed observers are demonstrated through computer simulations,0,Ciencias Sociales
Reduced-Order and Full-Order Interval Observers Design for Discrete-Time System,Observers Discrete-time systems Sensor systems Design methodology Sensor phenomena and characterization,In this paper the design of reduced-order and full-order interval observers for discrete-time system is investigated. First the original system is transformed into a descriptor system with the ability to estimate the unknown noise of sensors. Next a reduced-order interval observer design method for descriptor system is presented. The state matrix of the system is obtained by linear transformation and a Sylvester equation is constructed to find the appropriate observer gain matrix. Then an existing design method of full-order interval observer is introduced in this paper. Finally a simulation example is given to demonstrate that the reduced-order interval observer has more accurate interval estimation results than the full-order interval observer,0,Ciencias Sociales
 Observer Design for Discrete-Time Nonlinear Systems Using the Stability Radii Theory,Observers Asymptotic stability Stability analysis Nonlinear systems Linear matrix inequalities Linear systems Circuit stability,This brief proposes an approach for designing state observers for a class of discrete-time nonlinear systems. This brief involves the concepts of positivity and stability radii. The approach consists of applying the stability radii technique of discrete-time positive systems with time-varying nonlinear functions in the estimation error dynamics to guarantee the exponential convergence property of the observer. The design conditions only valid for Lipschitz-type nonlinearities can be transformed in some situations into Linear Matrix Inequalities (LMIs). A numerical example is included to illustrate the effectiveness of the theoretical results.,0,Ciencias Sociales
Estimation and Compensation for Lipschitz Nonlinear Discrete-Time Systems Subjected to Unknown Measurement Delays,Delays Observers Robustness Symmetric matrices Estimation error Nonlinear systems,Unknown measurement delays usually degrade system performance and even damage a system under output feedback control which motivate us to develop an effective method to attenuate or offset the adverse effect from the measurement delays. In this paper an augmented observer is proposed for discrete-time Lipschitz nonlinear systems subjected to unknown measurement delays enabling a simultaneous estimation for system states and perturbed terms caused by output delays. On the basis of the estimates a sensor compensation technique is addressed to remove the influence from the measurement delays to the system performance. Furthermore an integrated robust estimation and compensation technique is proposed to decouple constant piecewise disturbances attenuate other disturbances/noise and offset the adverse effect caused by the measurement delays. The proposed methods are applied to a two-stage chemical reactor with delayed recycle and to an electromechanical servosystem which demonstrate the effectiveness of the present techniques.,0,Ciencias Sociales
Interval observer design for unknown input estimation of linear time-invariant discrete-time systems,Interval estimation discrete-time systems unknown input observer  state transformation cooperative systems,Stability Radii-Based Interval Observers for Discrete-Time Nonlinear Systems,0,Ciencias Sociales
A Simple Nonlinear Observer for State and Unknown Input Estimation: DC Motor Applications,Observers DC motors Circuit faults Permanent magnets Shafts Permanent magnet motors,The contribution of this brief is to propose a method based on a simple nonlinear observer with an easy-to-compute observer gain in order to achieve both state and unknown input (UI) estimation. Since the structure of the original model of the process does not require any transformation the nonlinear dynamics are preserved. This allows an accurate estimation of the states and the UIs or faults. Two particular cases involving dc motors are illustrated in simulation and an experiment using a permanent magnet dc motor is presented.,0,Ciencias Sociales
Educational beliefs matter for classroom instruction: A comparative analysis of teachers’ beliefs about the aims of civic  ,COVID-19 pandemic Multi-domain work-life shock events Work and family Identity threat Identity reflection Identity reconstruction,"During the COVID-19 pandemic many countries enforced mandatory stay-at-home orders. The
confinement period that took place may be regarded as a multi-domain work-life shock event
severely disrupting both the professional and the family sphere. Taking an identity lens this study
examines whether and how identity changed during confinment by drawing from a diary study
consisting of 14 working parents who filled out a daily diary over a period of seven weeks of
mandated home confinement in France. The findings suggest how both work-related and familyrelated identity change may occur when individuals are confronted with a multi-domain work-life
shock event such as the pandemic. Further the findings point to three identity responses to this
event: work-life identity threat work-life identity reflection and work-life identity reconstruction. For most participants the seven-week period resulted in significant and positive shifts in
their work and family identities to better align with their internal beliefs rather than relying on
societally imposed expectations about what it means to be a good parent and worker.",1,Ciencias Sociales
Identity Regulation as Organizational Control: Producing the Appropriate Individual,identtity effentively emphasized normative control,This paper takes the regulation of identity as a focus for examining organizational control. It considers how employees are enjoined to develop self-images and work orientations that are deemed congruent with managerially defined objectives. This focus on identity extends and deepens themes developed within other analyses of normative control. Empirical materials are deployed to illustrate how managerial intervention operates more or less intentionally and in/effectively to influence employees’ self-constructions in terms of coherence distinctiveness and commitment. The processual nature of such control is emphasized arguing that it exists in tension with other intra and extra-organizational claims upon employees’ sense of identity in a way that can open a space for forms of micro-emancipation.,0,Ciencias Sociales
Normalizing Dirty Work: Managerial Tactics For Countering Occupational Taint,Dirty work occupations managers,Dirty work refers to occupations that are viewed by society as physically socially or morally tainted. Using exploratory semistructured interviews with managers from 18 dirty work occupations we investigated the challenges of being a manager in tainted work and how managers normalize taint--that is actively counter it or render it less salient. Managers reported experiencing role complexity and stigma awareness. Four types of practices for countering taint were revealed: occupational ideologies social buffers confronting clients and the public and defensive tactics. We discuss links between these practices.,0,Ciencias Sociales
Examining boundaries to understand the impact of COVID-19 on vocational behaviors,Remote work Working-from-home Border control Travel restrictions Pandemic,The COVID-19 has posed an unprecedented challenge to the global workforce. To better understand the impact of the pandemic on work and careers I call for research taking a closer look at the boundaries in the career context. Specifically both the micro (boundaries that demarcate role domains) and macro (national borders) boundaries should be considered. The pandemic changes the existing boundaries and challenges the “usual” practices while it blurs the micro cross-domain boundaries it strengthens the macro cross-country boundaries. I propose that the changes in the micro and macro boundaries are one of the important mechanisms in how COVID-19 affects many individuals' vocational behaviors and career outcomes. In this essay I explain why we should pay more attention to the boundaries to learn about the impact of COVID-19 on vocational and career behaviors. I conclude with a discussion of several directions for future research.,0,Ciencias Sociales
When work and family collide: Deciding between competing role demands,Work–family conflict Work–family interference Role pressure Role salience Self-esteem,This study examined the factors that influence the decision to participate in a work activity or a competing family activity. Part-time MBA students were presented with a vignette in which they were required to choose between participating in a weekend project team meeting and a surprise birthday party for a parent. Pressures from role senders (managers and spouses) to participate in each activity and the supportiveness of role senders for participation in the other role were manipulated in vignettes and the salience of each role was assessed with self-report scales. Both work and family pressures affected the choice of activity. The salience of work and family roles for respondents also influenced the choice with the effect of family salience stronger for those who were higher in self-esteem and higher in work salience. Implications of the findings for understanding the directionality of work–family interference are identified limitations are discussed and areas for future research are proposed.,0,Ciencias Sociales
Work–nonwork boundary management profiles: A person-centered approach,Work–family boundaries Work–nonwork Work–life,The goal of this paper is to advance the measurement and theory of work–nonwork boundary management styles. Boundary management styles are defined as the approaches individuals use to demarcate boundaries and attend to work and family and other nonwork roles given identity centralities and perceived boundary control. We argue that research should be augmented with a person-centered approach which examines how psychological measures are integrated into configurations. Integrating role and boundary theories we identify three main characteristics of work-nonwork boundary management: (1) cross-role interruption behaviors (work to nonwork and nonwork to work interruptions) (2) identity centrality of work and family roles and (3) perceived control of boundaries. Using a variable-centered approach we refined and validated these measures to create an assessment (Work–Life Indicator) that captured boundary management profiles. The profiles reflect how interruption behaviors identity centralities and boundary control interrelate to cluster into profiles a set of psychological characteristics organized into a pattern of work–nonwork boundary functioning. We identify boundary management profiles and examine their relationships to key work-family outcomes. Regardless of the level and direction of interruption behaviors and centrality of work–family identities we found that low control boundary management profiles (reactors job warriors) tended to experience more negative work and family outcomes than did high control profiles (fusion lovers dividers family guardians eclectics).,0,Ciencias Sociales
Work-Life Events Theory: Making Sense of Shock Events in Dual-Earner Couples,Work–family boundaries Work–non dual-earner couple level process,Dual-earner couples are increasingly prevalent and encounter demands arising from each partner’s commitment to various work and life domains. Unfortunately there has been little theoretical progress in explaining how dual-earner couples navigate work-life shock events which we define as disruptive novel and critical events that require investment of a couple’s resources. Drawing from identity and sensemaking theories we develop a theory of work-life shock events to explain how dual-earner couples perceive and respond to these events. We theorize that partners initially make sense of the event as individuals and then engage in couple-level sensemaking. We argue that each individual’s shock intensity perceptions are shaped by the shock event’s characteristics and the identity factors of role salience hierarchy and future self. A subsequent couple-level process of sensemaking ensues influenced by the salience of the originating domain and partner role as well as relational identity factors. Couple-level shock intensity perceptions result in the couple’s decision regarding resource investment in the shock event’s originating domain. We discuss implications for future research and for organizations.,0,Ciencias Sociales
